#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,20 00 17.79,-22 00 50.5 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,300_m20_comissioning Tile 000
#TILING_DATE,2021 06 07 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,priority,remaining_observations,Tile_number,COMPLETED,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,Position,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,Re,GAL_MU_E_R,Mstar
1.0,6864305895989728256,67.62335999999999,66.82388,95.0702359097946,3.1824183839719398,3.92104446526583,5.5445592258857,300.38608,-21.727606,17.312599182128903,16.7677001953125,16.514600753784197,16.3953990936279,16.312599182128903,16.783941,17.23779,16.142096,-2.21563392783923,-7.600095896057169,1.0,1.0,-999.0,False,70497.641010101,64730.536484847595,1.0,67623.36,66823.88,,P,0.299218407079646,0.295680884955752,1.0,19,-99
2.0,6864086509060773760,-28.58939,-203.65391,205.650840695729,-0.26713795284623704,1.43132552286152,4.58472183147182,299.94327000000004,-22.87045,17.9568996429443,17.4622001647949,17.2625007629395,17.1630001068115,17.161300659179698,17.515417000000003,17.885118,16.859219,7.8866145701959205,-2.3123489646519597,1.0,1.0,-999.0,False,-29577.4189898881,-193552.207515152,1.0,-28589.39,-203653.91,,P,-0.126501725663717,-0.9011234955752209,1.0,19,-99
3.0,6866037974698142080,-7.58864,207.24081999999999,207.379711956888,0.464388381538279,-1.53419518322658,1.99858356476486,300.04028,-21.142012,16.8535995483398,15.6857004165649,15.149900436401401,14.879599571228,14.699199676513699,15.706201,16.254053,14.677565,2.97339079848929,-5.94068507256659,1.0,1.0,-999.0,False,-7653.15898989832,197074.78048484802,1.0,-7588.64,207240.82,,P,-0.0335780530973451,0.9169947787610621,1.0,19,-99
4.0,6865814017923310336,82.15935,118.66868999999998,144.334392224233,3.2375261207171695,4.1068209438486,5.41389048404816,300.45016,-21.50875,18.925800323486303,17.884700775146502,17.4302997589111,17.192699432373,17.070899963378903,17.927101,18.603481,17.027622,-3.32983073913141,-2.1833338415734,1.0,1.0,-999.0,False,84979.7210100987,114191.99248484802,1.0,82159.35,118668.69,,P,0.3635369469026551,0.525082699115044,1.0,19,-99
5.0,6864324179668913280,53.85415,109.18371,121.742975163196,2.8620591367889796,4.25416120476978,4.89108323919878,300.32156000000003,-21.547773,17.6128997802734,17.0941009521484,16.8474998474121,16.7350997924805,16.6606006622314,17.10661,17.528103,16.46396,-5.88729395412229,-4.86931164278499,1.0,1.0,-999.0,False,55916.121010110306,105372.79448484801,1.0,53854.15,109183.71,,P,0.238292699115044,0.48311376106194703,1.0,19,-99
6.0,6864278962252930048,-94.74703000000001,-19.61277,96.75567394677071,-0.572151975671006,0.204118543556948,5.50691478795163,299.63617,-22.097313,15.6679000854492,15.1822004318237,14.9746999740601,14.891900062561,14.8388004302979,15.188462,15.589541,14.611425,-3.07551777450851,-3.1466642137829304,1.0,1.0,-999.0,False,-98982.018989899,-18823.245515152,1.0,-94747.03,-19612.77,,P,-0.41923464601769894,-0.0867821681415929,1.0,19,-99
7.0,6864490824399758336,-135.79587,57.06125,147.297333854416,-0.7509998413885501,-0.39779689694488396,5.92998236273592,299.4522,-21.769973999999998,18.2024993896484,17.5410003662109,17.216600418090803,17.0578994750977,16.9512004852295,17.720379,18.058634,16.834324,8.731140011119221,-4.832432778820559,1.0,1.0,-999.0,False,-140559.238989896,55155.3684848484,1.0,-135795.87,57061.25,,P,-0.600866681415929,0.252483407079646,1.0,19,-99
8.0,6864264599882160896,-62.19931999999999,-51.12155,80.5119139187791,-1.15846188575217,0.687952001409647,4.4367714200177595,299.7861,-22.232744,15.176300048828098,14.2868003845215,13.8894996643066,13.6648998260498,13.5277004241943,14.287719000000001,14.971110000000001,13.492107,-2.10215450426614,-3.7345310980984596,1.0,1.0,-999.0,False,-65097.838989902695,-49430.651515152196,1.0,-62199.32,-51121.55,,P,-0.275218230088496,-0.226201548672566,1.0,19,-99
9.0,6864269032288680704,-10.56548,-32.04117,33.7381970857854,-0.664502423462684,1.2522769286806101,4.3664059550363,300.025,-22.151857,17.101900100708,16.4759006500244,16.2033996582031,16.0855007171631,15.9912996292114,16.507036,16.995615,15.841989000000002,-0.43195327506036996,-4.42696911776404,1.0,1.0,-999.0,False,-11106.4389899025,-31150.189515152,1.0,-10565.48,-32041.17,,P,-0.0467499115044248,-0.141775088495575,1.0,19,-99
10.0,6864326344332317312,12.498280000000001,104.39956,105.145019526138,-0.041281112017268,4.59324019960063,1.64866399556169,300.13184,-21.567358,18.3421001434326,17.5118999481201,17.1578998565674,16.9866008758545,16.8472003936768,17.553213,18.156513,16.773782999999998,-4.45667904029776,-1.3707544087174401,1.0,1.0,-999.0,False,13039.4010101052,100946.584484848,1.0,12498.28,104399.56,,P,0.0553021238938053,0.461944955752212,1.0,19,-99
